Id,Total Population,Unemployment Rate
1400000US17001000100,2458,0.048321465
1400000US17001000201,1162,0.053299492
1400000US17001000202,1579,0.041353383
1400000US17001000400,2062,0.094259391
1400000US17001000500,1265,0.083427283
1400000US17001000600,2302,0.052944087
1400000US17001000700,886,0.045009785
1400000US17001000800,1655,0.120481928
1400000US17001000900,1736,0.117397454
1400000US17001001001,2139,0.070543888
1400000US17001001002,1907,0.044136192
1400000US17001001100,4537,0.040337464
1400000US17001010100,2488,0.032941176
1400000US17001010200,2094,0.038066465
1400000US17001010300,3433,0.051415797
1400000US17001010400,2058,0.061820263
1400000US17001010500,1609,0.016254417
1400000US17001010600,3511,0.032420749
1400000US17003957600,1465,0.099310345
1400000US17003957700,763,0.063247863
1400000US17003957800,765,0.055427252
1400000US17003957900,787,0.105263158
1400000US17005951200,1670,0.032928943
1400000US17005951300,4507,0.052425665
1400000US17005951400,1793,0.040143369
1400000US17005951500,2828,0.049315068
1400000US17007010100,4785,0.0999741
1400000US17007010200,3645,0.076575009
1400000US17007010300,3810,0.066645306
1400000US17007010400,4227,0.086969001
1400000US17007010500,6202,0.092396934
1400000US17007010601,2345,0.07664042
1400000US17007010602,6941,0.052567023
1400000US17009970400,1548,0.040816327
1400000US17009970500,3269,0.035583942
1400000US17011964700,1761,0.057759221
1400000US17011964800,2036,0.042105263
1400000US17011964900,1611,0.037151703
1400000US17011965000,2098,0.058006042
1400000US17011965100,2262,0.064081852
1400000US17011965200,2188,0.063027575
1400000US17011965300,1812,0.046308725
1400000US17011965400,1800,0.038029925
1400000US17011965500,2108,0.063854716
1400000US17011965600,1711,0.077618689
1400000US17013951200,1539,0.065884477
1400000US17013951300,1226,0.005370569
1400000US17015960100,1784,0.058446187
1400000US17015960200,1299,0.069672131
1400000US17015960300,1665,0.042833608
1400000US17015960400,1145,0.054487179
1400000US17015960500,1571,0.041373927
1400000US17015960600,872,0.079491256
1400000US17017960100,1343,0.046554935
1400000US17017960200,1401,0.047743056
1400000US17017960300,1789,0.082154882
1400000US17017960400,1499,0.065963061
1400000US17017960500,1581,0.093823299
1400000US17019000200,1111,0.070257611
1400000US17019000301,4574,0.080638015
1400000US17019000302,3218,0.030848329
1400000US17019000401,4934,0.071612903
1400000US17019000402,4457,0.094412331
1400000US17019000500,3094,0.067783405
1400000US17019000700,2440,0.097358121
1400000US17019000800,3929,0.065067466
1400000US17019000901,3141,0.095
1400000US17019000902,4581,0.030481557
1400000US17019001000,2914,0.03454307
1400000US17019001100,2269,0.017432647
1400000US17019001201,4334,0.085533869
1400000US17019001203,3175,0.030164185
1400000US17019001204,2167,0.033618234
1400000US17019001205,4179,0.024657534
1400000US17019001206,1141,0
1400000US17019001301,3820,0.016414548
1400000US17019001302,2000,0.05786736
1400000US17019001400,5187,0.044164038
1400000US17019005300,5273,0.090481361
1400000US17019005401,2840,0.039983512
1400000US17019005402,2272,0.035185185
1400000US17019005500,3168,0.050901804
1400000US17019005600,4261,0.091408736
1400000US17019005701,2988,0.093327703
1400000US17019005702,2221,0.011216057
1400000US17019005800,3019,0.036205316
1400000US17019005900,6124,0.099916736
1400000US17019006000,3311,0.098242812
1400000US17019010100,2702,0.081131201
1400000US17019010204,2683,0.062254902
1400000US17019010300,2065,0.05210295
1400000US17019010400,2825,0.048379938
1400000US17019010500,2586,0.035925421
1400000US17019010601,3827,0.045211184
1400000US17019010603,4331,0.018010529
1400000US17019010604,1575,0.069861901
1400000US17019010700,4874,0.017385092
1400000US17019010800,2765,0.050564334
1400000US17019010900,6247,0.021782574
1400000US17019011000,3583,0.038073544
1400000US17019011100,2134,0.119359534
1400000US17021958100,1714,0.028792135
1400000US17021958200,2228,0.073439412
1400000US17021958300,2696,0.027255639
1400000US17021958400,2111,0.054347826
1400000US17021958500,1434,0.044358727
1400000US17021958600,1232,0.050403226
1400000US17021958700,3352,0.034066714
1400000US17021958800,1527,0.054713805
1400000US17021958900,1497,0.047229791
1400000US17021959000,2515,0.04462572
1400000US17023060100,2738,0.057155516
1400000US17023060200,2336,0.075781664
1400000US17023060300,3047,0.07340604
1400000US17023060400,1179,0.020060181
1400000US17025971900,1424,0.061983471
1400000US17025972000,1633,0.062871708
1400000US17025972100,3077,0.058041112
1400000US17025972200,1718,0.014357502
1400000US17027900100,3765,0.032949953
1400000US17027900200,1217,0.027592769
1400000US17027900300,4441,0.021838497
1400000US17027900401,926,0.056944444
