Id,Nonfamily Median Income
1400000US17001000100,34583
1400000US17001000201,24122
1400000US17001000202,30833
1400000US17001000400,16221
1400000US17001000500,17821
1400000US17001000600,31657
1400000US17001000700,16850
1400000US17001000800,18275
1400000US17001000900,26780
1400000US17001001001,35313
1400000US17001001002,28971
1400000US17001001100,32578
1400000US17001010100,29556
1400000US17001010200,30119
1400000US17001010300,31694
1400000US17001010400,32321
1400000US17001010500,35114
1400000US17001010600,32891
1400000US17003957600,21691
1400000US17003957700,23661
1400000US17003957800,19875
1400000US17003957900,23015
1400000US17005951200,18750
1400000US17005951300,35446
1400000US17005951400,25833
1400000US17005951500,30000
1400000US17007010100,30733
1400000US17007010200,20446
1400000US17007010300,28125
1400000US17007010400,35341
1400000US17007010500,46045
1400000US17007010601,51339
1400000US17007010602,44412
1400000US17009970400,37266
1400000US17009970500,26833
1400000US17011964700,45625
1400000US17011964800,31935
1400000US17011964900,27788
1400000US17011965000,30870
1400000US17011965100,30809
1400000US17011965200,31127
1400000US17011965300,29574
1400000US17011965400,24826
1400000US17011965500,32344
1400000US17011965600,36544
1400000US17013951200,20195
1400000US17013951300,34500
1400000US17015960100,27593
1400000US17015960200,26025
1400000US17015960300,26853
1400000US17015960400,31908
1400000US17015960500,33063
1400000US17015960600,26250
1400000US17017960100,41250
1400000US17017960200,30909
1400000US17017960300,37443
1400000US17017960400,24375
1400000US17017960500,23571
1400000US17019000200,19881
1400000US17019000301,7100
1400000US17019000302,-
1400000US17019000401,5074
1400000US17019000402,3740
1400000US17019000500,28456
1400000US17019000700,32917
1400000US17019000800,44059
1400000US17019000901,30218
1400000US17019000902,37214
1400000US17019001000,40309
1400000US17019001100,51250
1400000US17019001201,32455
1400000US17019001203,43641
1400000US17019001204,63155
1400000US17019001205,45417
1400000US17019001206,56917
1400000US17019001301,38452
1400000US17019001302,43889
1400000US17019001400,23841
1400000US17019005300,11090
1400000US17019005401,33370
1400000US17019005402,34914
1400000US17019005500,31567
1400000US17019005600,29655
1400000US17019005701,35210
1400000US17019005702,28839
1400000US17019005800,24662
1400000US17019005900,7290
1400000US17019006000,20048
1400000US17019010100,19907
1400000US17019010204,37394
1400000US17019010300,27105
1400000US17019010400,39167
1400000US17019010500,36458
1400000US17019010601,30877
1400000US17019010603,34143
1400000US17019010604,32384
1400000US17019010700,33971
1400000US17019010800,40774
1400000US17019010900,40189
1400000US17019011000,33485
1400000US17019011100,22847
1400000US17021958100,40769
1400000US17021958200,24531
1400000US17021958300,26677
1400000US17021958400,24792
1400000US17021958500,25703
1400000US17021958600,41125
1400000US17021958700,29732
1400000US17021958800,28654
1400000US17021958900,24850
1400000US17021959000,31494
1400000US17023060100,35682
1400000US17023060200,33214
1400000US17023060300,27292
1400000US17023060400,27266
1400000US17025971900,35714
1400000US17025972000,28643
1400000US17025972100,16184
1400000US17025972200,20161
1400000US17027900100,37675
1400000US17027900200,43125
1400000US17027900300,39418
1400000US17027900401,26979
1400000US17027900402,24018
1400000US17027900500,28388
1400000US17027900601,40000
1400000US17027900602,53636
1400000US17029000100,25404
1400000US17029000200,37295
1400000US17029000300,30590
1400000US17029000400,18399
1400000US17029000500,18125
1400000US17029000600,32260
1400000US17029000700,14547
1400000US17029000800,12500
1400000US17029000900,35273
1400000US17029001000,19897
1400000US17029001100,35357
1400000US17029001200,25805
1400000US17031010100,29489
1400000US17031010201,32064
1400000US17031010202,26222
1400000US17031010300,34238
1400000US17031010400,30854
1400000US17031010501,26926
1400000US17031010502,32234
1400000US17031010503,14634
1400000US17031010600,27286
1400000US17031010701,48564
1400000US17031010702,37535
1400000US17031020100,45625
1400000US17031020200,-
1400000US17031020301,33264
1400000US17031020302,50540
1400000US17031020400,60625
1400000US17031020500,27958
1400000US17031020601,32233
1400000US17031020602,65125
1400000US17031020701,36667
1400000US17031020702,39219
1400000US17031020801,44754
1400000US17031020802,45541
1400000US17031020901,43547
1400000US17031020902,28000
1400000US17031030101,33833
1400000US17031030102,40067
1400000US17031030103,41339
1400000US17031030104,35375
1400000US17031030200,45060
1400000US17031030300,31838
1400000US17031030400,37045
1400000US17031030500,62679
1400000US17031030601,37917
1400000US17031030603,28649
1400000US17031030604,27465
1400000US17031030701,35511
1400000US17031030702,45197
1400000US17031030703,30313
1400000US17031030706,37206
1400000US17031030800,52987
1400000US17031030900,61250
1400000US17031031000,54813
1400000US17031031100,51518
1400000US17031031200,25459
1400000US17031031300,40918
1400000US17031031400,56893
1400000US17031031501,29643
1400000US17031031502,20171
1400000US17031031700,40129
1400000US17031031800,50341
1400000US17031031900,47163
1400000US17031032100,40771
1400000US17031040100,61042
1400000US17031040201,55433
1400000US17031040202,26731
1400000US17031040300,77222
1400000US17031040401,69331
1400000US17031040402,53996
1400000US17031040600,55523
1400000US17031040700,55528
1400000US17031040800,55729
1400000US17031040900,52813
1400000US17031050100,66458
1400000US17031050200,60989
1400000US17031050300,60304
1400000US17031050500,84125
1400000US17031050600,87361
1400000US17031050700,83750
1400000US17031050800,83500
1400000US17031050900,66607
1400000US17031051000,85625
1400000US17031051100,46458
1400000US17031051200,96875
1400000US17031051300,116914
1400000US17031051400,67727
1400000US17031060100,65694
1400000US17031060200,63000
1400000US17031060300,80043
1400000US17031060400,84659
1400000US17031060500,22928
1400000US17031060800,77752
1400000US17031060900,55092
1400000US17031061000,100417
1400000US17031061100,94102
1400000US17031061200,87596
1400000US17031061500,103269
1400000US17031061800,62917
1400000US17031061901,45771
1400000US17031061902,55600
1400000US17031062000,66964
1400000US17031062100,71681
1400000US17031062200,97105
1400000US17031062300,104375
1400000US17031062400,93125
1400000US17031062500,85250
1400000US17031062600,83056
1400000US17031062700,73676
1400000US17031062800,104700
1400000US17031062900,84035
1400000US17031063000,74412
1400000US17031063100,72417
1400000US17031063200,54241
1400000US17031063301,42381
1400000US17031063302,66395
1400000US17031063303,61471
1400000US17031063400,77292
1400000US17031070101,54497
1400000US17031070102,58179
1400000US17031070103,56898
1400000US17031070200,69141
1400000US17031070300,79922
1400000US17031070400,64412
1400000US17031070500,52292
1400000US17031070600,123571
1400000US17031070700,87717
1400000US17031071000,106953
1400000US17031071100,82589
1400000US17031071200,102630
1400000US17031071300,73090
1400000US17031071400,63995
1400000US17031071500,77732
1400000US17031071600,60938
1400000US17031071700,104500
1400000US17031071800,101328
1400000US17031080100,87530
1400000US17031080201,73119
1400000US17031080202,69931
1400000US17031080300,99583
1400000US17031080400,23500
1400000US17031081000,49082
1400000US17031081100,61504
1400000US17031081201,75776
1400000US17031081202,84231
1400000US17031081300,71818
1400000US17031081401,45000
1400000US17031081402,80978
1400000US17031081403,81480
1400000US17031081500,68304
1400000US17031081600,88438
1400000US17031081700,93348
1400000US17031081800,103665
1400000US17031081900,139500
1400000US17031090100,39393
1400000US17031090200,60577
1400000US17031090300,45500
1400000US17031100100,52847
1400000US17031100200,46122
1400000US17031100300,22230
1400000US17031100400,26250
1400000US17031100500,50781
1400000US17031100600,41994
1400000US17031100700,42500
1400000US17031110100,40804
1400000US17031110200,29949
1400000US17031110300,40263
1400000US17031110400,44602
1400000US17031110501,46094
1400000US17031110502,46164
1400000US17031120100,50417
1400000US17031120200,63621
1400000US17031120300,36250
1400000US17031120400,68250
1400000US17031130100,16571
1400000US17031130200,53500
1400000US17031130300,41622
1400000US17031140100,37829
1400000US17031140200,28333
1400000US17031140301,33750
1400000US17031140302,50222
1400000US17031140400,39661
1400000US17031140500,37173
1400000US17031140601,20667
1400000US17031140602,40769
1400000US17031140701,42279
1400000US17031140702,48750
1400000US17031140800,64107
1400000US17031150200,38968
1400000US17031150300,48400
1400000US17031150401,38352
1400000US17031150402,51552
1400000US17031150501,46625
1400000US17031150502,27917
1400000US17031150600,38992
1400000US17031150700,54007
1400000US17031150800,34688
1400000US17031151001,22250
1400000US17031151002,37417
1400000US17031151100,31188
1400000US17031151200,26023
1400000US17031160100,46711
1400000US17031160200,43429
1400000US17031160300,42783
1400000US17031160400,35272
1400000US17031160501,51429
1400000US17031160502,45066
1400000US17031160601,60515
1400000US17031160602,46094
1400000US17031160700,47832
1400000US17031160800,43063
1400000US17031160900,51500
1400000US17031161000,44500
1400000US17031161100,70833
1400000US17031161200,34875
1400000US17031161300,42083
1400000US17031170100,26425
1400000US17031170200,49917
1400000US17031170300,38092
1400000US17031170400,37386
1400000US17031170500,61484
1400000US17031170600,39125
1400000US17031170700,43333
1400000US17031170800,35156
1400000US17031170900,20450
1400000US17031171000,31949
1400000US17031171100,31969
1400000US17031180100,34032
1400000US17031190100,24013
1400000US17031190200,18269
1400000US17031190300,25638
1400000US17031190401,35181
1400000US17031190402,37202
1400000US17031190601,36384
1400000US17031190602,30781
1400000US17031190701,21014
1400000US17031190702,40321
1400000US17031190800,22778
1400000US17031190900,15104
1400000US17031191000,24625
1400000US17031191100,33295
1400000US17031191200,36696
1400000US17031191301,27083
1400000US17031191302,33427
1400000US17031200100,23056
1400000US17031200200,28036
1400000US17031200300,23047
1400000US17031200401,25227
